taylor swift-1989-2014-pop
lady gaga-The Fame-2008-electropop
florence and the machine-Lungs-2009-indie pop
stevie wonder-The Definitive Collection-2003-soul
coldplay-Parachutes-2000-pop rock
bruno mars-Doo Wops & Hooligans-2010-pop
elton john-Diamonds-2017-pop
eminem-The Marshall Mathers LP-2000-hip hop
the beatles-Sgt. Pepper's Lonely Hearts Club Band-1967-rock
post malone-Stoney-2016-hip hop
post malone-Hollywood's Bleeding-2019-pop
