2 tone
2-step
acid house
acid jazz
acid rock
acid techno
acid trance
acoustic blues
acoustic rock
afoxê
african blues
afrobeat
aggrotech
alternative country
alternative dance
alternative folk
alternative hip hop
alternative metal
alternative pop
alternative punk
alternative rock
ambient
ambient dub
ambient house
ambient pop
ambient techno
ambient trance
american primitive guitar
americana
anarcho-punk
anatolian rock
andalusian classical
anti-folk
aor
appalachian folk
arena rock
ars antiqua
ars nova
ars subtilior
art pop
art punk
art rock
atmospheric black metal
audiobook
avant-garde
avant-garde jazz
avant-garde metal
avant-garde pop
avant-prog
axé
bachata
baião
balearic beat
ballad
baltimore club
barbershop
bardcore
baroque
baroque pop
bass house
bassline
battle rap
batucada
beat music
bebop
benga
berlin school
bhangra
big band
big beat
black metal
blackened death metal
blackgaze
bleep techno
blue-eyed soul
bluegrass
bluegrass gospel
blues
blues rock
bolero
bolero son
bongo flava
boogie rock
boogie-woogie
boom bap
bossa nova
bounce
breakbeat
breakbeat hardcore
breakcore
breaks
brega
brega funk
brill building
brit funk
britcore
britpop
broken beat
brostep
brutal death metal
bubblegum bass
bubblegum pop
cajun
calypso
canción melódica
candombe
canterbury scene
cantopop
canzone napoletana
cape jazz
carimbó
carnatic classical
celtic
celtic punk
chacarera
chachachá
chalga
chamamé
chamber pop
champeta
changüí
chanson à texte
chanson française
chicago blues
chicano rap
chillout
chillstep
chillwave
chimurenga
chiptune
chopped and screwed
choro
christian metal
christian rock
christmas music
chutney
city pop
classic blues
classic country
classic jazz
classic rock
classical
classical crossover
cloud rap
club
coco
coldwave
comedy
comedy rock
compas
complextro
conscious hip hop
contemporary christian
contemporary classical
contemporary folk
contemporary gospel
contemporary jazz
contemporary r&b
contra
cool jazz
copla
corrido
country
country blues
country boogie
country folk
country pop
country rap
country rock
country soul
coupé-décalé
cowpunk
crossover jazz
crossover prog
crossover thrash
crunk
crust punk
cumbia
cumbia villera
cuplé
cyber metal
cybergrind
cyberpunk
d-beat
dance
dance-pop
dance-punk
dance-rock
dancehall
dangdut
dansband
danzón
dark ambient
dark cabaret
dark electro
dark folk
dark jazz
dark psytrance
dark wave
darkstep
death 'n' roll
death industrial
death metal
death-doom metal
deathcore
deathgrind
deathrock
deathstep
deconstructed club
deep funk
deep house
delta blues
denpa
depressive black metal
descarga
desert blues
desert rock
detroit techno
dhrupad
digital hardcore
disco
disco polo
dixieland
djent
doo-wop
doom metal
doomcore
downtempo
dream pop
dreampunk
drill
drill and bass
drone
drone metal
drum and bass
dub
dub poetry
dub techno
dubstep
dungeon synth
east coast hip hop
easycore
ebm
edm
electric blues
electro
electro house
electro swing
electro-funk
electro-industrial
electroclash
electronic
electronic rock
electronica
electronicore
electropop
electropunk
electrotango
emo
emo pop
emo rap
emocore
enka
