Taylor Swift-Taylor Alison Swift-32-American singer songwriter. Her narrative lyricism, which often takes inspiration from her personal life, has received widespread critical praise and media coverage.
Lady Gaga-Stefani Joanne Angelina Germanotta-35-American singer, songwriter, and actress. She is known for her image reinventions and musical versatility.
Florence and the Machine-Florence and the Machine-14-English indie rock band that formed in London in 2007, consisting of vocalist Florence Welch, keyboardist Isabella Summers, guitarist Rob Ackroyd, harpist Tom Monger, and a collaboration of other musicians.
Stevie Wonder-Stevland Hardaway Morris-71-American singer, songwriter, musician and record producer. A prominent figure in popular music during the second half of the 20th century, Wonder is one of the most successful songwriters and musicians.
Coldplay-Coldplay-25-Coldplay are a British rock band formed in London in 1996.[1][2] Vocalist, rhythm guitarist and pianist Chris Martin, lead guitarist Jonny Buckland, bassist Guy Berryman, and drummer Will Champion.
Bruno Mars-Peter Gene Hernandez-36-American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, hip hop, and rock.
Elton John-Sir Elton Hercules John-74-English singer, songwriter, pianist, and composer. Collaborating with lyricist Bernie Taupin since 1967 on more than 30 albums, John has sold over 300 million records, making him one of the best-selling music artists of all time.
Eminem-Marshall Bruce Mathers III-49-American rapper, songwriter, actor, and record producer. Eminem is among the best-selling music artists of all time, with estimated worldwide sales of more than 220 million records.
The Beatles-The Beatles-61-English rock band formed in Liverpool in 1960. The group, whose best-known line-up comprised John Lennon, Paul McCartney, George Harrison and Ringo Starr, are regarded as the most influential band of all time.
Post Malone-Austin Richard Post-26-American rapper, singer, songwriter, record producer, and actor. Known for his tattoos, introspective songwriting, and laconic vocal style, Malone has gained acclaim for blending a range of genres including hip hop, R&B, pop, trap, rap rock, and cloud rap.
